scheduler,pre_burst_miss_rate,burst_miss_rate,post_burst_miss_rate,pre_p95_ms,burst_p95_ms,post_p95_ms,recovery_overshoot
fifo,0.025,0.025,0.075,103.99,104.03,2157.79,19.75
round_robin,0.0,0.0437,0.05,104.26,104.74,304.87,1.9241
static_priority,0.025,0.0187,0.0,103.84,104.56,104.11,0.0026
edf,0.025,0.0375,0.0,104.88,104.29,104.49,-0.0037
pq_deadline,0.025,0.0375,0.0,108.27,103.79,103.84,-0.0409
qos,0.0,0.025,0.025,103.68,103.94,103.9,0.0021
paes,0.0,0.025,0.025,103.69,103.51,103.32,-0.0036
