scheduler,mean_us,median_us,p99_us,max_us,std_us,pct_of_inference
fifo,0.833,0.8,0.896,16.223,0.296,0.0011
round_robin,0.894,0.864,0.96,19.231,0.288,0.0012
static_priority,1.027,1.024,1.12,13.408,0.156,0.0013
edf,1.04,1.024,1.152,7.168,0.11,0.0014
pq_deadline,1.386,1.376,1.632,7.936,0.112,0.0018
qos,1.671,1.664,1.952,9.92,0.121,0.0022
paes,1.724,1.728,1.984,22.304,0.13,0.0022
