scheduler,n_tasks,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_wait_ms,miss_rate,missed_count,throughput_tps,avg_energy_mj,total_energy_mj
fifo,600,72.36,18.0,108.16,660.45,18463.4,0.0133,8,13.82,953.7417,572245.01
round_robin,600,69.78,18.02,108.23,132.72,18745.28,0.01,6,14.33,921.301,552780.61
static_priority,600,86.03,17.11,108.39,138.44,28589.2,0.01,6,11.62,1141.3611,684816.68
edf,600,73.34,17.17,107.61,137.77,13976.91,0.01,6,13.64,970.4249,582254.92
pq_deadline,600,76.3,17.11,107.67,133.92,15666.96,0.01,6,13.11,1010.2862,606171.71
qos,600,58.47,17.1,107.9,138.5,11915.01,0.01,6,17.1,769.8057,461883.44
paes,600,65.88,17.06,107.23,127.23,13165.41,0.01,6,15.18,869.7611,521856.68
