scheduler,pre_burst_miss_rate,burst_miss_rate,post_burst_miss_rate,pre_p95_ms,burst_p95_ms,post_p95_ms,recovery_overshoot
fifo,0.0,0.0,0.0,154.34,166.51,173.8,0.1261
round_robin,0.0,0.0,0.0,160.4,160.4,141.22,-0.1196
static_priority,0.0,0.0,0.0,163.53,164.61,158.84,-0.0287
edf,0.0,0.0,0.0,168.8,162.46,146.29,-0.1334
pq_deadline,0.0,0.0,0.0,161.47,166.87,161.56,0.0006
qos,0.0,0.0,0.0,153.24,160.85,163.81,0.069
paes,0.0,0.0,0.0,145.18,163.25,157.34,0.0838
