config,alpha,beta,gamma,avg_latency_ms,p95_latency_ms,miss_rate,avg_energy_mj
balanced,1.0,1.0,1.0,88.12,162.34,0.0,1.1172
priority-heavy,3.0,1.0,1.0,87.89,156.61,0.0,1.0974
latency-heavy,1.0,3.0,1.0,86.71,161.65,0.0,1.1041
energy-heavy,1.0,1.0,3.0,85.42,155.13,0.0,1.113
no-priority,0.0,1.0,1.0,86.49,168.61,0.0,1.1121
no-latency,1.0,0.0,1.0,85.45,165.72,0.0,1.0963
no-energy,1.0,1.0,0.0,87.12,162.28,0.0,1.103
