scheduler,n_tasks,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_wait_ms,miss_rate,missed_count,throughput_tps,avg_energy_mj,total_energy_mj
fifo,600,84.75,76.25,158.83,177.65,3.97,0.0,0,11.8,1.0727,643.62
round_robin,600,86.11,80.17,160.58,178.2,3.41,0.0,0,11.61,1.0797,647.83
static_priority,600,85.92,78.91,161.12,182.22,3.24,0.0,0,11.64,1.0747,644.83
edf,600,85.01,77.52,158.41,175.21,3.17,0.0,0,11.76,1.0704,642.25
pq_deadline,600,85.93,79.58,159.92,182.8,3.34,0.0,0,11.64,1.079,647.37
qos,600,85.2,78.16,160.78,181.31,3.64,0.0,0,11.74,1.0816,648.98
paes,600,86.23,79.27,159.51,178.11,3.47,0.0,0,11.6,1.0657,639.43
