scheduler,avg_energy_mj,total_energy_mj,n_tasks,relative_energy
fifo,1036.199,621719.39,600,1.0
round_robin,1009.2565,605553.93,600,0.974
static_priority,956.7355,574041.3,600,0.923
edf,951.0286,570617.18,600,0.918
pq_deadline,986.0509,591630.54,600,0.952
qos,1405.1543,843092.59,600,1.356
paes,971.8575,583114.51,600,0.938
