scheduler,n_tasks,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_wait_ms,miss_rate,missed_count,throughput_tps,avg_energy_mj,total_energy_mj
fifo,600,85.45,80.83,171.73,196.27,25930.87,0.0017,1,11.7,1062.0894,637253.63
round_robin,600,84.83,78.05,170.03,204.45,24981.12,0.0,0,11.79,1054.6697,632801.84
static_priority,600,82.47,80.97,174.71,205.84,24843.88,0.0,0,12.13,1032.1142,619268.52
edf,600,80.38,78.03,165.54,195.06,18911.16,0.0,0,12.44,1005.9124,603547.41
pq_deadline,600,81.89,82.56,171.49,196.79,19780.48,0.0,0,12.21,1024.2291,614537.48
qos,600,80.32,79.68,173.48,195.01,19963.72,0.0,0,12.45,1008.036,604821.61
paes,600,78.96,79.77,168.95,186.56,18656.72,0.0,0,12.66,988.7067,593224.04
