scheduler,pre_burst_miss_rate,burst_miss_rate,post_burst_miss_rate,pre_p95_ms,burst_p95_ms,post_p95_ms,recovery_overshoot
fifo,0.0,0.0,0.0,161.66,169.04,152.1,-0.0591
round_robin,0.0,0.0125,0.0,180.33,189.65,162.32,-0.0999
static_priority,0.0,0.0,0.0,151.47,166.69,176.66,0.1663
edf,0.0,0.0,0.0,148.16,165.85,167.21,0.1286
pq_deadline,0.0,0.0,0.0,154.22,160.06,167.0,0.0829
qos,0.0,0.0,0.0,160.03,149.93,159.79,-0.0015
paes,0.0,0.0,0.0,149.64,179.7,167.9,0.122
