load_level,n_tasks,scheduler,miss_rate,miss_rate_std
low,30,fifo,0.0,0.0
low,30,round_robin,0.0,0.0
low,30,static_priority,0.0,0.0
low,30,edf,0.0,0.0
low,30,pq_deadline,0.0,0.0
low,30,qos,0.0,0.0
low,30,paes,0.0,0.0
medium,80,fifo,0.0,0.0
medium,80,round_robin,0.0,0.0
medium,80,static_priority,0.0,0.0
medium,80,edf,0.0,0.0
medium,80,pq_deadline,0.0,0.0
medium,80,qos,0.0,0.0
medium,80,paes,0.0,0.0
high,160,fifo,0.0,0.0
high,160,round_robin,0.0,0.0
high,160,static_priority,0.0,0.0
high,160,edf,0.0013,0.0025
high,160,pq_deadline,0.0,0.0
high,160,qos,0.0,0.0
high,160,paes,0.0,0.0
extreme,300,fifo,0.0007,0.0013
extreme,300,round_robin,0.0,0.0
extreme,300,static_priority,0.0007,0.0013
extreme,300,edf,0.0,0.0
extreme,300,pq_deadline,0.0,0.0
extreme,300,qos,0.0,0.0
extreme,300,paes,0.0,0.0
