config,alpha,beta,gamma,avg_latency_ms,p95_latency_ms,miss_rate,avg_energy_mj
balanced,1.0,1.0,1.0,79.16,166.8,0.0,985.701
priority-heavy,3.0,1.0,1.0,76.87,161.67,0.0,958.5088
latency-heavy,1.0,3.0,1.0,81.02,172.86,0.0,1010.5641
energy-heavy,1.0,1.0,3.0,78.18,164.58,0.0,975.5226
no-priority,0.0,1.0,1.0,76.37,168.16,0.0,951.6499
no-latency,1.0,0.0,1.0,85.48,170.45,0.0067,1063.3692
no-energy,1.0,1.0,0.0,77.45,162.27,0.0,967.0474
