config,alpha,beta,gamma,avg_latency_ms,p95_latency_ms,miss_rate,avg_energy_mj
balanced,1.0,1.0,1.0,162.43,646.65,0.18,2131.7519
priority-heavy,3.0,1.0,1.0,157.28,618.32,0.18,2059.5302
latency-heavy,1.0,3.0,1.0,161.38,626.02,0.18,2115.4607
energy-heavy,1.0,1.0,3.0,165.49,628.07,0.18,2170.5981
no-priority,0.0,1.0,1.0,150.13,566.49,0.18,1962.7673
no-latency,1.0,0.0,1.0,191.37,593.83,0.18,2520.8521
no-energy,1.0,1.0,0.0,177.94,615.14,0.18,2339.301
