scheduler,mean_us,median_us,p99_us,max_us,std_us,pct_of_inference
fifo,0.466,0.4,0.9,50.9,0.507,0.0006
round_robin,0.467,0.4,0.8,29.5,0.279,0.0006
static_priority,0.547,0.5,1.0,184.8,0.755,0.0007
edf,0.551,0.5,1.1,149.1,0.614,0.0007
pq_deadline,0.706,0.7,1.2,80.9,0.493,0.0009
qos,0.851,0.8,1.6,148.6,0.664,0.0011
paes,0.787,0.8,1.4,44.7,0.387,0.001
