scheduler,n_tasks,avg_latency_ms,p95_latency_ms,p99_latency_ms,avg_wait_ms,miss_rate,avg_energy_mj,throughput_tps
fifo,685,73.15,110.0,150.0,10155.21,0.0,0.9193,13.67
round_robin,685,73.15,110.0,150.0,10438.69,0.0,0.9193,13.67
static_priority,685,73.15,110.0,150.0,11496.65,0.0,0.9193,13.67
edf,685,73.15,110.0,150.0,10080.41,0.0,0.9193,13.67
pq_deadline,685,73.15,110.0,150.0,11299.8,0.0,0.9193,13.67
qos,685,73.15,110.0,150.0,11366.43,0.0,0.9193,13.67
paes,685,73.15,110.0,150.0,6728.05,0.0,0.9193,13.67
