scheduler,avg_energy_mj,total_energy_mj,n_tasks,relative_energy
fifo,2909.2704,1745562.24,600,1.0
round_robin,2982.8525,1789711.51,600,1.025
static_priority,3210.1723,1926103.36,600,1.103
edf,3522.5366,2113521.99,600,1.211
pq_deadline,3353.7665,2012259.9,600,1.153
qos,3445.5348,2067320.85,600,1.184
paes,3711.144,2226686.43,600,1.276
